dim,gpu_ms,cpu_ms,speedup,max_abs_diff,mean_abs_diff,rel_err,gpu_selected,timestamp
36,0.8698,0.5205,0.598,7.384177e-05,1.679595e-05,2.512765e-03,True,1775789309.8412206
36,0.8540,0.4929,0.577,8.107978e-06,2.752399e-06,1.291323e-03,True,1775789309.9622533
36,0.8149,0.4567,0.560,2.644258e-06,9.487609e-07,1.217076e-03,True,1775789310.082243
36,0.7846,0.4311,0.549,2.413872e-06,6.015526e-07,6.663306e-04,True,1775789310.2003605
36,0.8845,0.5692,0.643,2.478901e-05,4.256866e-06,6.724648e-04,True,1775789311.0138571
36,0.8692,0.5075,0.584,1.790002e-06,6.292499e-07,2.776937e-04,True,1775789311.1317828
36,0.9062,0.5101,0.563,4.370231e-06,1.097678e-06,7.129371e-04,True,1775789311.2566452
36,0.8520,0.4876,0.572,9.769574e-06,1.823098e-06,1.496340e-03,True,1775789311.3796878
30,0.9014,0.5106,0.567,6.087869e-05,1.484660e-05,8.802971e-04,True,1775789312.163469
30,0.8206,0.4275,0.521,8.744653e-06,3.120159e-06,6.803051e-04,True,1775789312.2697153
30,0.8072,0.4204,0.521,6.577931e-06,1.372291e-06,6.828813e-04,True,1775789312.3765757
30,0.8212,0.4436,0.540,3.415160e-06,7.072848e-07,5.858776e-04,True,1775789312.4857435
30,0.7875,0.4115,0.523,6.627524e-07,1.941565e-07,2.580133e-04,True,1775789312.5917392
30,0.7794,0.3950,0.507,7.823110e-07,2.798473e-07,4.369912e-04,True,1775789312.697819
36,0.9186,0.5283,0.575,6.046559e-05,1.290837e-05,1.622591e-03,True,1775789313.5405624
36,0.8120,0.4393,0.541,3.421010e-06,1.205080e-06,3.887889e-04,True,1775789313.6641452
36,0.8164,0.4643,0.569,5.363952e-06,1.508119e-06,7.778596e-04,True,1775789313.7868433
36,0.7854,0.4284,0.545,6.460119e-06,1.621748e-06,1.292374e-03,True,1775789313.907988
36,0.9168,0.5330,0.581,3.135484e-05,9.373631e-06,7.447486e-04,True,1775789314.828243
36,0.9157,0.4944,0.540,4.256144e-06,1.305767e-06,2.271420e-04,True,1775789314.9655883
36,0.8374,0.4437,0.530,6.522052e-06,1.816082e-06,7.703918e-04,True,1775789315.101012
36,0.8099,0.4279,0.528,6.779330e-06,1.994525e-06,9.498039e-04,True,1775789315.2325368
42,0.8861,0.5388,0.608,4.028715e-05,8.500334e-06,7.532670e-04,True,1775789316.1537058
42,0.8315,0.5027,0.605,5.632639e-06,1.498307e-06,2.697545e-04,True,1775789316.2974162
42,0.8388,0.4620,0.551,3.583264e-06,9.947194e-07,2.939194e-04,True,1775789316.4412086
42,0.8795,0.5174,0.588,5.536247e-06,1.720992e-06,6.562581e-04,True,1775789316.5856495
42,0.8015,0.4574,0.571,4.010275e-06,8.906122e-07,5.448213e-04,True,1775789316.7271485
42,0.8448,0.5030,0.595,5.719718e-06,1.986819e-06,1.633355e-03,True,1775789316.8698258
91,1.3107,0.9351,0.713,5.187988e-04,2.990270e-05,1.670550e-05,True,1775789320.2482748
91,1.1152,0.7671,0.688,6.051064e-04,2.775835e-05,8.572634e-05,True,1775789320.492238
91,1.1235,0.7976,0.710,1.277626e-04,3.715764e-06,4.172079e-04,True,1775789320.7307532
91,1.1151,0.7677,0.688,2.363697e-04,5.137466e-06,1.927046e-02,True,1775789320.9679615
91,1.1199,0.7865,0.702,8.415990e-05,1.753906e-06,9.979830e-03,True,1775789321.2105021
91,1.1182,0.7681,0.687,7.329870e-05,1.658805e-06,1.176222e-02,True,1775789321.4470205
91,1.1438,0.7981,0.698,8.025928e-05,1.575629e-06,1.541397e-02,True,1775789321.6874077
91,1.1110,0.7925,0.713,1.451356e-05,7.406030e-07,4.269936e-03,True,1775789321.9274507
91,1.0649,0.7267,0.682,1.761992e-05,2.469775e-07,5.296031e-03,True,1775789322.1684394
91,1.0657,0.7271,0.682,9.237090e-06,3.238226e-07,3.844612e-03,True,1775789322.4024417
91,1.0813,0.7524,0.696,9.301060e-06,3.092803e-07,4.355905e-03,True,1775789322.6385906
91,1.0711,0.7335,0.685,7.181850e-06,1.747077e-07,4.360147e-03,True,1775789322.8770537
91,1.1179,0.7880,0.705,5.508715e-06,1.329660e-07,3.789574e-03,True,1775789323.1219912
91,1.0657,0.7379,0.692,1.197433e-05,3.034175e-07,1.111522e-02,True,1775789323.358784
91,1.0414,0.7182,0.690,1.381111e-05,2.658859e-07,1.310353e-02,True,1775789323.593802
91,1.1069,0.7925,0.716,1.247930e-05,2.180734e-07,1.718717e-02,True,1775789323.839718
91,1.1213,0.8140,0.726,4.049540e-04,1.577339e-05,2.431385e-04,True,1775789324.162838
91,1.0568,0.7445,0.704,6.914139e-06,2.174938e-07,4.014635e-04,True,1775789324.3998127
91,1.1220,0.7993,0.712,1.523877e-07,2.796993e-08,7.454271e-04,True,1775789324.6424348
91,1.0967,0.7743,0.706,3.387686e-08,4.636253e-09,1.401310e-04,True,1775789324.8856497
91,1.0517,0.7305,0.695,2.860907e-08,9.927187e-10,2.092537e-04,True,1775789325.121875
91,1.0833,0.7653,0.706,1.202279e-07,2.398231e-09,6.029356e-04,True,1775789325.358502
91,1.0610,0.7300,0.688,8.077768e-08,1.169477e-09,3.996152e-04,True,1775789325.6017308
91,1.0417,0.7238,0.695,9.921496e-08,1.498817e-09,4.982021e-04,True,1775789325.8385005
91,1.1049,0.7750,0.701,1.027220e-07,1.617605e-09,5.110645e-04,True,1775789326.0789485
91,1.1090,0.7484,0.675,8.659845e-08,1.216689e-09,4.192711e-04,True,1775789326.3203022
91,1.1233,0.7604,0.677,8.857751e-08,1.291705e-09,4.294304e-04,True,1775789326.5562723
91,1.1325,0.7808,0.689,8.397910e-08,1.166756e-09,4.112865e-04,True,1775789326.7981465
91,1.1861,0.8543,0.720,1.092703e-07,1.904657e-09,5.324100e-04,True,1775789327.0361147
91,1.1155,0.8356,0.749,8.770439e-08,1.294294e-09,4.267822e-04,True,1775789327.276841
91,1.0801,0.7672,0.710,9.199721e-08,1.481102e-09,4.500486e-04,True,1775789327.5156884
91,1.5227,0.7681,0.504,7.697963e-08,1.173495e-09,3.838162e-04,True,1775789327.7524629
90,1.1379,0.9230,0.811,1.050130e-03,1.434887e-04,7.641772e-03,True,1775789329.0602977
90,1.1626,0.7520,0.647,1.631565e-04,2.331244e-05,5.573068e-03,True,1775789329.2860277
90,1.1257,0.7616,0.677,6.852439e-06,1.265449e-06,3.189959e-03,True,1775789329.5123339
90,1.1489,0.7600,0.661,1.152002e-07,1.626799e-08,3.910691e-04,True,1775789329.7407212
90,1.1691,0.7547,0.646,3.041387e-07,4.523471e-08,9.640042e-03,True,1775789329.9722247
90,1.1124,0.7400,0.665,3.367677e-08,5.419121e-09,7.573964e-03,True,1775789330.1982687
90,1.1049,0.7590,0.687,1.421785e-08,2.217307e-09,9.244844e-03,True,1775789330.4218197
90,1.0895,0.7440,0.683,1.629530e-08,2.566358e-09,8.384625e-03,True,1775789330.6419458
90,1.2772,0.9531,0.746,1.921376e-08,3.013670e-09,9.413219e-03,True,1775789330.870284
90,1.1090,0.7488,0.675,1.606406e-08,2.593111e-09,7.675120e-03,True,1775789331.0946546
90,1.0795,0.7386,0.684,2.031436e-08,3.232597e-09,9.257191e-03,True,1775789331.315564
90,1.1090,0.7637,0.689,1.685646e-08,2.737749e-09,7.984889e-03,True,1775789331.537692
90,1.0917,0.7893,0.723,1.960893e-08,3.075742e-09,9.120542e-03,True,1775789331.759419
90,1.0967,0.7473,0.681,1.721617e-08,2.755773e-09,8.872130e-03,True,1775789331.983059
90,1.1622,0.7682,0.661,1.838964e-08,2.939515e-09,9.399498e-03,True,1775789332.210357
90,1.1447,0.7649,0.668,1.726426e-08,2.753969e-09,8.562324e-03,True,1775789332.4368212
90,1.1213,0.7766,0.693,6.169081e-06,1.064328e-06,2.414017e-03,True,1775789332.7512388
90,1.1172,0.7699,0.689,6.914997e-07,1.125949e-07,1.410046e-03,True,1775789332.976064
90,1.1305,0.7967,0.705,1.186945e-07,1.754256e-08,6.118665e-03,True,1775789333.2009647
90,1.0957,0.7494,0.684,5.720324e-09,9.144248e-10,1.628289e-03,True,1775789333.4232724
90,1.0916,0.7386,0.677,2.562729e-09,4.630654e-10,1.049448e-03,True,1775789333.6483715
90,1.1140,0.7535,0.676,3.272419e-09,5.570406e-10,1.298815e-03,True,1775789333.8727508
